-197.451;109.716;77.716;0.155745;0.163076;1.874995
-200.266;59.269;65.071;0.825308;0.136168;1.938199
-177.533;155.802;37.804;-0.119071;0.884385;2.842712
-255.022;173.389;69.535;-0.700607;0.449736;-1.697890
-302.106;97.314;81.654;-0.331323;-0.275274;-0.655606
-273.181;178.677;60.987;-0.496838;-0.548733;2.359046
-317.226;118.805;70.183;0.452752;-0.681169;-2.910117
-291.562;87.405;84.877;0.556199;-0.067617;-2.343924
-230.943;30.302;54.010;0.778147;-0.218514;1.199228
-203.587;75.978;75.463;0.198369;0.092399;1.177769
-244.626;155.768;81.836;-0.127092;-0.177870;2.519152
-275.554;62.955;81.771;0.001748;-0.156503;-0.242593
